country,material,production_2019_metric_tons,production_2020_metric_tons,production_2021_metric_tons,production_2022_metric_tons,production_2023_metric_tons
Argentina,Ferrosilicon,13000.0,11200.0,13000.0,12500.0,12500.0
Australia,Silicon Metal,49000.0,43000.0,51000.0,49000.0,40000.0
Bhutan,Ferrosilicon,138651.0,103488.0,130103.0,115718.0,126891.0
Bosnia and Herzegovina,Ferrosilicon,4000.0,1000.0,4000.0,4000.0,400.0
Bosnia and Herzegovina,Silicon Metal,31911.0,14641.0,35919.0,24859.0,2000.0
Brazil,Ferrosilicon,270000.0,320000.0,300000.0,290000.0,293000.0
Brazil,Silicon Metal,200000.0,190000.0,198000.0,206000.0,200000.0
Canada,Ferrosilicon,37000.0,34000.0,30000.0,40000.0,35000.0
Canada,Silicon Metal,34000.0,25000.0,30000.0,40000.0,30000.0
China,Ferrosilicon,5490000.0,5320000.0,5860000.0,5940000.0,5600000.0
China,Silicon Metal,2248900.0,2100000.0,2910000.0,3503300.0,3700000.0
Egypt,Ferrosilicon,60500.0,60000.0,60000.0,60000.0,60000.0
France,Ferrosilicon,48000.0,41000.0,44000.0,38000.0,36000.0
France,Silicon Metal,105000.0,87000.0,100000.0,98000.0,92000.0
Germany,Silicon Metal,,64365.0,64000.0,63000.0,60000.0
Iceland,Ferrosilicon,120255.0,128187.0,123800.0,121509.0,112601.0
Iceland,Silicon Metal,28396.0,27903.0,28007.0,49759.0,24228.0
India,Ferrosilicon,93000.0,90000.0,90000.0,90000.0,90000.0
Kazakhstan,Ferrosilicon,79930.0,180645.0,148023.0,180399.0,196000.0
Kazakhstan,Silicon Metal,13000.0,5000.0,6000.0,7200.0,7000.0
"Korea, North",Ferrosilicon,46000.0,16000.0,37000.0,37000.0,36000.0
"Korea, Republic of",Ferrosilicon,30000.0,29000.0,30000.0,29000.0,28000.0
Laos,Silicon Metal,4600.0,970.0,1100.0,13000.0,8500.0
Malaysia,Ferrosilicon,230735.0,167443.0,131059.0,140355.0,139529.0
North Macedonia,Ferrosilicon,117.0,,,,
Norway,Ferrosilicon,350000.0,320000.0,330000.0,300000.0,270000.0
Norway,Silicon Metal,150000.0,143000.0,150000.0,147000.0,125000.0
Paraguay,Ferrosilicon,10000.0,10000.0,9000.0,8700.0,9000.0
Poland,Ferrosilicon,65523.0,61709.0,73370.0,51371.0,51000.0
Russia,Ferrosilicon,846579.0,880401.0,880000.0,842657.0,728423.0
Russia,Silicon Metal,59300.0,56500.0,60000.0,55000.0,55000.0
Slovakia,Ferrosilicon,38060.0,37372.0,41811.0,21574.0,22000.0
Slovakia,Silicon Metal,,,2000.0,600.0,600.0
South Africa,Ferrosilicon,90000.0,51000.0,55000.0,60000.0,57000.0
South Africa,Silicon Metal,33000.0,,,2300.0,13000.0
Spain,Ferrosilicon,90000.0,77000.0,83000.0,71000.0,67000.0
Spain,Silicon Metal,7500.0,5000.0,5800.0,5700.0,5400.0
Turkey,Ferrosilicon,1938.0,1706.0,455.0,,
Ukraine,Ferrosilicon,62560.0,60800.0,87600.0,21600.0,9300.0
"United States, total silicon materials8",Ferrosilicon,419000.0,,,,
